Words_Tokenize,Entity_Name
Dear,1
Suresh,1
",",1
"
",1
Good,1
day,1
",",1
"
 
",1
Please,1
advise,1
your,1
best,1
rate,1
for,1
Iso,1
Tank,1
from,1
BND,1
or,1
BIK,1
to,1
NSA,1
"
",1
Product,1
description,1
:,1
Linear,1
Alkyl,1
Benzene,1
"
",1
Quantity,1
:,1
2200,1
MT,1
"
",1
MSDS,1
as,1
per,1
attached,1
.,1
"
 
",1
Looking,1
forward,1
your,1
kind,1
reply,1
",",1
"
 
",1
Thanks,1
/,1
B.Regards,1
"
",1
Arash,1
Rashvand,1
"
",1
Marketing,1
Dept,1
.,1
"
 
",1
Tushehbar,1
Shipping,1
&,1
Int'l,1
Freight,1
Forwarders,1
" 
 
",1
Tushehbar,1
Building,1
",",1
No.52,1
",",1
15th,1
Street,1
(,1
East,1
Nastaran,1
),1
",",1
Arab,1
Ali,1
Street,1
",",1
Khorramshahr,1
Avenue,1
",",1
North,1
Sohrevardi,1
Avenue,1
",",1
Tehran,1
",",1
Iran,1
.,1
"
",1
Tel,1
:,1
(,1
98,1
21,1
),1
43602,1
     ,1
Ext,1
:,1
206,1
"    
         ",1
(,1
98,1
21,1
),1
88511494,1
/,1
88515450,1
/,1
88517814,1
/,1
"
                          ",1
88170231,1
/,1
88517842,1
/,1
88517606,1
/,1
88172407,1
"
",1
Fax,1
:,1
(,1
98,1
21,1
),1
88736971,1
"
",1
Cellphone,1
:,1
98,1
912,1
6467839,1
"
",1
Skype,1
ID,1
:,1
 ,1
arash,1
Rashvand,1
"
 ",1
www.tushehbar.com,1
<,1
http://www.tushehbar.com/,1
>,1
" 
 
 ",1
<,1
https://www.linkedin.com/company/tushehbar-shipping-agency/><https://www.fnc-group.com/,1
>,1
"
",1
Keep,1
It,1
Green,1
",",1
Read,1
From,1
the,1
Screen,1
